Ðis skats man ðíiet uzticams (tam varçtu uzticçt personas datus, maksâjuma vai citu sensitîvu informâciju)	Ðis skats man ðíiet draudzîgs (tas rada pieejamu un labvçlîgu iespaidu)	Ðis skats man ðíiet lietiðís (tas ðíiet oficiâls, nopietns, vçrsts uz uzdevumu izpildi)	Ðo skatu man bûtu çrti lietot (informâcija ðíiet viegli uztverama un pârskatâma, nepiecieðamâs darbîbas varçtu veikt bez papildu palîdzîbas)	Ðis skats man patîk	Pievienojiet komentârus vai skaidrojumus par sniegtajâm atbildçm	Ðis skats man ðíiet uzticams (tam varçtu uzticçt personas datus, maksâjuma vai citu sensitîvu informâciju) 2	Ðis skats man ðíiet draudzîgs (tas rada pieejamu un labvçlîgu iespaidu) 2	Ðis skats man ðíiet lietiðís (tas ðíiet oficiâls, nopietns, vçrsts uz uzdevumu izpildi) 2	Ðo skatu man bûtu çrti lietot (informâcija ðíiet viegli uztverama un pârskatâma, nepiecieðamâs darbîbas varçtu veikt bez papildu palîdzîbas) 2	Ðis skats man patîk 2	Pievienojiet komentârus vai skaidrojumus par sniegtajâm atbildçm 2	Ðis skats man ðíiet uzticams (tam varçtu uzticçt personas datus, maksâjuma vai citu sensitîvu informâciju) 3	Ðis skats man ðíiet draudzîgs (tas rada pieejamu un labvçlîgu iespaidu) 3	Ðis skats man ðíiet lietiðís (tas ðíiet oficiâls, nopietns, vçrsts uz uzdevumu izpildi) 3	Ðo skatu man bûtu çrti lietot (informâcija ðíiet viegli uztverama un pârskatâma, nepiecieðamâs darbîbas varçtu veikt bez papildu palîdzîbas) 3	Ðis skats man patîk 3	Pievienojiet komentârus vai skaidrojumus par sniegtajâm atbildçm 3	Ðis skats man ðíiet uzticams (tam varçtu uzticçt personas datus, maksâjuma vai citu sensitîvu informâciju) 4	Ðis skats man ðíiet draudzîgs (tas rada pieejamu un labvçlîgu iespaidu) 4	Ðis skats man ðíiet lietiðís (tas ðíiet oficiâls, nopietns, vçrsts uz uzdevumu izpildi) 4	Ðo skatu man bûtu çrti lietot (informâcija ðíiet viegli uztverama un pârskatâma, nepiecieðamâs darbîbas varçtu veikt bez papildu palîdzîbas) 4	Ðis skats man patîk 4	Pievienojiet komentârus vai skaidrojumus par sniegtajâm atbildçm 4	Ðis skats man ðíiet uzticams (tam varçtu uzticçt personas datus, maksâjuma vai citu sensitîvu informâciju) 5	Ðis skats man ðíiet draudzîgs (tas rada pieejamu un labvçlîgu iespaidu) 5	Ðis skats man ðíiet lietiðís (tas ðíiet oficiâls, nopietns, vçrsts uz uzdevumu izpildi) 5	Ðo skatu man bûtu çrti lietot (informâcija ðíiet viegli uztverama un pârskatâma, nepiecieðamâs darbîbas varçtu veikt bez papildu palîdzîbas) 5	Ðis skats man patîk 5	Pievienojiet komentârus vai skaidrojumus par sniegtajâm atbildçm 5	Ðis skats man ðíiet uzticams (tam varçtu uzticçt personas datus, maksâjuma vai citu sensitîvu informâciju) 6	Ðis skats man ðíiet draudzîgs (tas rada pieejamu un labvçlîgu iespaidu) 6	Ðis skats man ðíiet lietiðís (tas ðíiet oficiâls, nopietns, vçrsts uz uzdevumu izpildi) 6	Ðo skatu man bûtu çrti lietot (informâcija ðíiet viegli uztverama un pârskatâma, nepiecieðamâs darbîbas varçtu veikt bez papildu palîdzîbas) 6	Ðis skats man patîk 6	Pievienojiet komentârus vai skaidrojumus par sniegtajâm atbildçm 6	Ðis skats man ðíiet uzticams (tam varçtu uzticçt personas datus, maksâjuma vai citu sensitîvu informâciju) 7	Ðis skats man ðíiet draudzîgs (tas rada pieejamu un labvçlîgu iespaidu) 7	Ðis skats man ðíiet lietiðís (tas ðíiet oficiâls, nopietns, vçrsts uz uzdevumu izpildi) 7	Ðo skatu man bûtu çrti lietot (informâcija ðíiet viegli uztverama un pârskatâma, nepiecieðamâs darbîbas varçtu veikt bez papildu palîdzîbas) 7	Ðis skats man patîk 7	Pievienojiet komentârus vai skaidrojumus par sniegtajâm atbildçm 7	Ðis skats man ðíiet uzticams (tam varçtu uzticçt personas datus, maksâjuma vai citu sensitîvu informâciju) 8	Ðis skats man ðíiet draudzîgs (tas rada pieejamu un labvçlîgu iespaidu) 8	Ðis skats man ðíiet lietiðís (tas ðíiet oficiâls, nopietns, vçrsts uz uzdevumu izpildi) 8	Ðo skatu man bûtu çrti lietot (informâcija ðíiet viegli uztverama un pârskatâma, nepiecieðamâs darbîbas varçtu veikt bez papildu palîdzîbas) 8	Ðis skats man patîk 8	Pievienojiet komentârus vai skaidrojumus par sniegtajâm atbildçm 8	Ðis skats man ðíiet uzticams (tam varçtu uzticçt personas datus, maksâjuma vai citu sensitîvu informâciju) 9	Ðis skats man ðíiet draudzîgs (tas rada pieejamu un labvçlîgu iespaidu) 9	Ðis skats man ðíiet lietiðís (tas ðíiet oficiâls, nopietns, vçrsts uz uzdevumu izpildi) 9	Ðo skatu man bûtu çrti lietot (informâcija ðíiet viegli uztverama un pârskatâma, nepiecieðamâs darbîbas varçtu veikt bez papildu palîdzîbas) 9	Ðis skats man patîk 9	Pievienojiet komentârus vai skaidrojumus par sniegtajâm atbildçm 9	Ðis skats man ðíiet uzticams (tam varçtu uzticçt personas datus, maksâjuma vai citu sensitîvu informâciju) 10	Ðis skats man ðíiet draudzîgs (tas rada pieejamu un labvçlîgu iespaidu) 10	Ðis skats man ðíiet lietiðís (tas ðíiet oficiâls, nopietns, vçrsts uz uzdevumu izpildi) 10	Ðo skatu man bûtu çrti lietot (informâcija ðíiet viegli uztverama un pârskatâma, nepiecieðamâs darbîbas varçtu veikt bez papildu palîdzîbas) 10	Ðis skats man patîk 10	Pievienojiet komentârus vai skaidrojumus par sniegtajâm atbildçm 10
5	3	5	5	3		4	4	3	5	5		5	3	6	5	3		6	6	6	6	6		6	2	5	3	3		4	5	6	4	4		5	4	6	4	4		5	5	5	6	5		6	5	5	6	5		6	6	6	6	6	
3	4	4	4	3		5	5	4	5	5		5	5	5	5	5		5	5	5	5	5		4	3	3	3	3		4	4	4	4	4		3	3	2	2	2		4	4	4	4	4		5	5	5	4	4		5	5	5	5	5	
6	6	6	6	6		5	6	6	6	6		6	6	6	6	6		5	6	6	6	6		6	6	6	6	6		6	6	6	6	6		6	6	6	6	6		6	6	6	6	6		6	6	6	6	6		6	6	6	6	6	
5	4	6	6	6		4	6	3	5	5	baigi apaïð grafiks :D	6	6	4	6	6		6	5	6	6	6		4	5	2	5	4		2	1	4	5	1		6	4	6	6	6		5	5	3	6	5		6	3	6	6	4		5	6	2	6	5	
6	6	6	6	6		6	6	6	6	6		6	5	5	6	6		5	5	6	6	5		6	5	6	6	6		6	6	5	5	5		5	5	5	5	5		6	6	6	6	6		5	5	5	6	6		6	6	5	6	6	
5	4	6	6	5		5	5	6	4	5		6	6	5	6	5		5	6	5	5	6		6	5	5	6	6		5	5	5	6	6		5	5	4	5	5		5	5	6	6	6		6	6	5	5	5		5	5	6	6	6	
5	5	6	6	5		5	6	5	6	5		6	4	6	4	3		6	4	6	5	4		6	3	6	6	4		6	5	6	6	4		6	5	6	6	4		5	5	6	6	3		6	5	6	6	5		5	6	6	4	3	
6	6	6	5	5		5	5	4	5	3	Nepatîk pârâk krâsainais grafiks	6	6	6	6	6		5	5	4	5	4	Nepatîk melnâs pogas un pârâk krâsainie grafiki	5	5	5	5	5	Ïoti mazi burti	6	6	6	6	6		6	6	6	6	6		6	6	6	6	6		6	6	6	6	6		6	6	6	6	6	
6	6	6	6	4		5	3	3	2	2		6	6	6	6	6		4	3	3	2	3		6	6	6	6	6		6	6	6	6	6		6	6	6	6	6		6	6	6	6	6		6	6	6	6	6		6	6	6	6	6	
5	5	6	6	6	ja pie vizîtes iemesla netrod vajadzîgo informâciju, tad papildus var atstât ziòu ârstam -vçrtçjams pozitîvi	5	6	4	6	6	pozitîvi, ka redzams tçriòu grafiks	4	4	4	4	4	Nav saprotams, kâpçc prasa norâdît dzimumu un dzimðanas datus	5	6	5	6	6	nepamanîju atðíirîbu ar pirmo bankas sâkuma paneli, bet kaut kâ liekas uzrveramâks un skaidrâks, kâ pirmais variants.	6	5	6	6	5		6	6	6	6	6	Pirmðíietami ïoti pârskatâmi. Varçtu bût vçl papildus f-ja preces galerija, kur apskatâmas vairâk fotogrâfijas.	6	6	6	6	6	"Patîk, ka sadaïa ""statuss""ir sadalîts krâsâs. Ja vçl filtra meklçtâjos ðie paði aktîvie meklçðanas logi bûtu iekrâsoti tâdâ paðâ krâsâ kâ statuss, man bûtu çrti uztverams."	6	6	6	6	6	"Fatums un laiks ir ïoti pozitîvi vçrtçjams, ka redzams  brîvai ârsta pieraksta laiks. No plânoðanas viedokïa çrti. Vçl jau ir izvçles pogas vai ir ì.â norîkojums, apmaksa ""maksas""vai ""nvd"""	5	5	6	5	5		6	6	6	6	6	
4	4	5	5	5		4	4	3	5	4		5	5	5	6	5		4	4	3	5	4		5	5	5	5	5		5	5	6	6	5		5	5	4	5	4		4	4	5	5	4		5	5	5	6	5		5	6	6	6	6	
4	5	4	6	4		4	5	3	4	3		6	5	6	6	6		5	5	5	5	5		4	4	4	4	4		5	6	5	5	5		5	5	5	5	4		5	5	4	5	5		4	4	4	4	4		6	6	6	5	6	
5	6	5	5	5	Visa informâcija viegli uztverama, nav slodzes meklçðanâ	4	3	4	2	3	Daudz daþâdas info un krâsas vienlaicîgi	4	4	5	5	4		4	4	4	4	4	Izskatâs informâcija sadalîta, vieglâk uztvert	3	3	5	3	3	Daþi lauki nav îsti intuitîvi saprotami, apgrûtina sapraðanu	4	4	5	6	5		4	4	5	5	4		6	4	5	4	5		4	6	5	6	6		4	5	4	5	5	
6	6	6	6	5		6	6	4	6	6		5	5	6	6	5		6	6	5	6	6		6	6	6	6	6		4	4	6	3	4		6	6	6	6	6		6	6	6	6	6		6	5	6	3	3		5	4	5	3	3	
5	5	6	5	5		4	3	3	2	3	Pârâk koðas krâsas	5	5	6	5	5		4	3	2	3	3	Koðas krâsas, ieteiktu monohromâs krâsâs vai maksimâli 3 krâsas daþâdos toòos	5	5	5	5	5		4	4	4	4	4		4	4	4	4	4	Atlasît/Notîrît pogas par daudz izceïas	5	5	5	5	6		5	5	5	5	5		4	4	4	5	4	
5	4	5	6	4		4	4	4	6	4		6	6	6	6	6		5	5	5	6	5		4	4	4	6	4		5	4	5	5	3		6	5	6	6	6		5	5	4	6	4		6	5	6	6	6		6	6	5	6	6	"Kaut kâ vienmçr bijusi asociâcija - kvadrâtaini stûri = lietiðís, nopietns, publiskais sektors ; apaïi stûri = draudzîgs, ne-tik-nopietns, publiskais sektors"
6	6	6	6	6		3	2	1	2	2		6	6	6	6	6		4	4	4	4	4		6	6	6	6	6		4	5	5	5	5		6	6	6	6	6		6	6	6	6	6		6	6	6	6	6		6	6	6	6	6	
4	3	4	4	3		5	5	5	6	6		5	6	6	6	6		6	6	6	6	6		5	4	5	5	5		2	2	3	3	3		6	4	6	5	5		3	3	3	4	2		6	5	6	6	6		3	4	2	2	2	
2	2	2	2	1		1	1	1	1	1		3	3	3	4	1		2	2	2	2	2		1	1	1	1	1		2	2	2	2	2		1	1	1	1	1		2	2	2	2	2		2	2	2	2	2		2	2	2	2	2	
4	4	5	4	4		3	5	2	2	3		5	5	6	5	5		3	2	2	2	3		6	6	6	6	6		6	6	6	6	6		6	6	6	6	6		6	6	6	6	6		6	6	6	6	6		5	5	5	5	5	
